ComplaintID,ProductCategory,ComplaintReason,UnitsSold,SalesValue,ComplaintCount
37737,Groceries,Wrong Size,3,36346,1
37738,Home Appliances,Defective Item,2,29766,1
37739,Bedding,Incorrect Item Sent,4,22663,1
37740,Footwear,Poor Quality,1,24407,1
37741,Groceries,Poor Quality,9,12308,1
37742,Footwear,Poor Quality,5,27783,1
37743,Footwear,Missing Item,2,31881,1
37744,Jewelry,Missing Item,8,10769,1
37745,Kitchenware,Missing Item,1,49450,1
37746,Footwear,Missing Item,1,33181,1
37747,Stationery,Poor Quality,2,25266,1
37748,Beauty Products,Incorrect Item Sent,7,28507,1
37749,Clothing,Product Not As Described,1,10982,1
37750,Electronics,Incorrect Item Sent,7,17534,1
37751,Kitchenware,Missing Item,3,27109,1
37752,Garden Tools,Defective Item,2,39634,1
37753,Garden Tools,Product Not As Described,7,6514,1
37754,Furniture,Missing Item,4,33793,1
37755,Electronics,Late Delivery,3,49936,1
37756,Sports Equipment,Packaging Issues,1,49259,1
37757,Garden Tools,Missing Item,5,36118,1
37758,Footwear,Missing Item,6,47390,1
37759,Jewelry,Missing Item,2,7070,1
37760,Bedding,Late Delivery,1,46104,1
37761,Stationery,Missing Item,3,22581,1
37762,Home Appliances,Missing Item,3,34892,1
37763,Kitchenware,Missing Item,9,14777,1
37764,Beauty Products,Wrong Size,7,13804,1
37765,Footwear,Missing Item,7,33075,1
37766,Beauty Products,Defective Item,8,42467,1
37767,Electronics,Late Delivery,2,39417,1
37768,Bedding,Defective Item,1,16095,1
37769,Books,Damage on Delivery,2,46148,1
37770,Groceries,Damage on Delivery,6,42681,1
37771,Stationery,Missing Item,5,47475,1
37772,Jewelry,Incorrect Item Sent,8,48383,1
37773,Footwear,Missing Item,2,48440,1
37774,Footwear,Poor Quality,3,31169,1
37775,Jewelry,Damage on Delivery,3,40446,1
37776,Footwear,Missing Item,3,42020,1
37777,Stationery,Poor Quality,9,36068,1
37778,Kitchenware,Poor Quality,1,5917,1
37779,Kitchenware,Poor Quality,9,30934,1
37780,Garden Tools,Packaging Issues,4,5802,1
37781,Toys,Incorrect Item Sent,7,45943,1
37782,Beauty Products,Product Not As Described,2,11505,1
37783,Kitchenware,Missing Item,3,23422,1
37784,Kitchenware,Poor Quality,7,15577,1
37785,Jewelry,Defective Item,6,8179,1
37786,Toys,Defective Item,4,22285,1
37787,Jewelry,Product Not As Described,2,41103,1
37788,Groceries,Missing Item,2,9466,1
37789,Bedding,Product Not As Described,5,25799,1
37790,Bedding,Product Not As Described,3,34124,1
37791,Jewelry,Wrong Size,2,37597,1
37792,Groceries,Product Not As Described,5,7464,1
37793,Kitchenware,Missing Item,3,23990,1
37794,Kitchenware,Missing Item,9,45518,1
37795,Furniture,Late Delivery,1,45273,1
37796,Footwear,Poor Quality,6,17519,1
37797,Kitchenware,Defective Item,5,37762,1
37798,Footwear,Poor Quality,8,5437,1
37799,Groceries,Packaging Issues,1,14045,1
37800,Jewelry,Wrong Size,1,47787,1
37801,Kitchenware,Defective Item,5,9894,1
37802,Beauty Products,Missing Item,2,49382,1
37803,Garden Tools,Wrong Size,9,12792,1
37804,Stationery,Missing Item,6,9897,1
37805,Toys,Product Not As Described,1,12000,1
37806,Toys,Missing Item,2,32363,1
37807,Stationery,Missing Item,1,16571,1
37808,Groceries,Late Delivery,2,31613,1
37809,Stationery,Poor Quality,2,27739,1
37810,Bedding,Wrong Size,9,15936,1
37811,Books,Poor Quality,3,28732,1
37812,Jewelry,Packaging Issues,2,47269,1
37813,Jewelry,Wrong Size,3,33687,1
37814,Clothing,Missing Item,3,45641,1
37815,Kitchenware,Poor Quality,7,27231,1
37816,Kitchenware,Poor Quality,7,23303,1
37817,Kitchenware,Packaging Issues,1,12810,1
37818,Bedding,Poor Quality,5,23048,1
37819,Kitchenware,Defective Item,6,18683,1
37820,Bedding,Poor Quality,9,5002,1
37821,Toys,Late Delivery,4,36098,1
37822,Bedding,Poor Quality,9,29733,1
37823,Kitchenware,Product Not As Described,1,35117,1
37824,Beauty Products,Wrong Size,8,39175,1
37825,Electronics,Damage on Delivery,4,28862,1
37826,Electronics,Late Delivery,8,12214,1
37827,Bedding,Late Delivery,4,46601,1
37828,Books,Late Delivery,5,6241,1
37829,Bedding,Damage on Delivery,4,16731,1
37830,Stationery,Defective Item,7,9946,1
37831,Kitchenware,Missing Item,6,16137,1
37832,Books,Wrong Size,1,21177,1
37833,Bedding,Defective Item,1,24558,1
37834,Bedding,Wrong Size,3,25473,1
37835,Kitchenware,Poor Quality,4,32367,1
37836,Beauty Products,Packaging Issues,6,18254,1
37837,Jewelry,Missing Item,5,29653,1
37838,Beauty Products,Incorrect Item Sent,5,5648,1
37839,Stationery,Missing Item,5,18200,1
37840,Jewelry,Damage on Delivery,2,6608,1
37841,Jewelry,Missing Item,8,20572,1
37842,Kitchenware,Packaging Issues,5,29940,1
37843,Jewelry,Product Not As Described,3,29176,1
37844,Home Appliances,Poor Quality,2,19960,1
37845,Stationery,Product Not As Described,5,9475,1
37846,Kitchenware,Defective Item,2,40604,1
37847,Jewelry,Packaging Issues,3,16482,1
37848,Jewelry,Poor Quality,3,34707,1
37849,Footwear,Incorrect Item Sent,5,25859,1
37850,Footwear,Damage on Delivery,6,7028,1
37851,Kitchenware,Product Not As Described,9,49608,1
37852,Home Appliances,Poor Quality,3,30743,1
37853,Groceries,Damage on Delivery,7,36193,1
37854,Books,Damage on Delivery,5,39656,1
37855,Furniture,Packaging Issues,8,20125,1
37856,Groceries,Poor Quality,1,6486,1
37857,Kitchenware,Poor Quality,2,19946,1
37858,Jewelry,Missing Item,9,49219,1
37859,Footwear,Wrong Size,6,10689,1
37860,Books,Defective Item,3,23138,1
37861,Jewelry,Packaging Issues,5,32799,1
37862,Books,Poor Quality,4,16011,1
37863,Groceries,Poor Quality,3,17939,1
37864,Bedding,Poor Quality,5,32864,1
37865,Beauty Products,Poor Quality,1,21961,1
37866,Footwear,Incorrect Item Sent,2,15229,1
37867,Home Appliances,Late Delivery,1,7706,1
37868,Toys,Missing Item,1,45002,1
37869,Stationery,Missing Item,7,10880,1
37870,Stationery,Damage on Delivery,9,21289,1
37871,Stationery,Late Delivery,1,30807,1
37872,Stationery,Incorrect Item Sent,9,7594,1
37873,Furniture,Poor Quality,3,16791,1
37874,Beauty Products,Poor Quality,6,46805,1
37875,Beauty Products,Late Delivery,5,7748,1
37876,Furniture,Poor Quality,8,42843,1
37877,Beauty Products,Product Not As Described,5,24819,1
37878,Groceries,Poor Quality,7,8747,1
37879,Books,Packaging Issues,9,14672,1
37880,Groceries,Wrong Size,4,9011,1
37881,Jewelry,Product Not As Described,1,31772,1
37882,Kitchenware,Late Delivery,8,42982,1
37883,Kitchenware,Wrong Size,7,24876,1
37884,Jewelry,Poor Quality,1,39262,1
37885,Electronics,Late Delivery,6,15955,1
37886,Groceries,Missing Item,5,10359,1
37887,Groceries,Defective Item,3,21422,1
37888,Kitchenware,Wrong Size,6,19537,1
37889,Bedding,Missing Item,5,32309,1
37890,Home Appliances,Missing Item,6,29210,1
37891,Kitchenware,Poor Quality,1,15744,1
37892,Jewelry,Damage on Delivery,7,14873,1
37893,Kitchenware,Missing Item,1,20648,1
37894,Books,Poor Quality,6,17824,1
37895,Home Appliances,Defective Item,9,25012,1
37896,Stationery,Poor Quality,5,10823,1
37897,Beauty Products,Wrong Size,9,38596,1
37898,Books,Damage on Delivery,9,17641,1
37899,Kitchenware,Damage on Delivery,8,30154,1
37900,Bedding,Poor Quality,7,39554,1
37901,Furniture,Poor Quality,3,29599,1
37902,Stationery,Damage on Delivery,6,12712,1
37903,Footwear,Missing Item,2,38786,1
37904,Bedding,Missing Item,2,16080,1
37905,Kitchenware,Missing Item,5,21972,1
37906,Kitchenware,Defective Item,1,26971,1
37907,Groceries,Late Delivery,3,47252,1
37908,Kitchenware,Packaging Issues,7,33867,1
37909,Groceries,Missing Item,1,41267,1
37910,Books,Incorrect Item Sent,4,17988,1
37911,Stationery,Poor Quality,3,16794,1
37912,Kitchenware,Damage on Delivery,3,30332,1
37913,Jewelry,Poor Quality,4,31980,1
37914,Books,Missing Item,7,7834,1
37915,Jewelry,Poor Quality,9,11862,1
37916,Kitchenware,Incorrect Item Sent,1,43847,1
37917,Home Appliances,Incorrect Item Sent,8,35231,1
37918,Kitchenware,Defective Item,4,42231,1
37919,Beauty Products,Poor Quality,1,18589,1
37920,Furniture,Damage on Delivery,6,32380,1
37921,Jewelry,Defective Item,1,38168,1
37922,Home Appliances,Poor Quality,6,21663,1
37923,Groceries,Late Delivery,7,40984,1
37924,Bedding,Missing Item,9,5231,1
37925,Kitchenware,Damage on Delivery,4,14620,1
37926,Beauty Products,Poor Quality,7,45031,1
37927,Beauty Products,Packaging Issues,2,23211,1
37928,Stationery,Defective Item,6,48326,1
37929,Beauty Products,Poor Quality,1,14434,1
37930,Garden Tools,Damage on Delivery,6,11241,1
37931,Home Appliances,Packaging Issues,9,18073,1
37932,Jewelry,Poor Quality,7,10608,1
37933,Kitchenware,Missing Item,7,31970,1
37934,Toys,Missing Item,1,25177,1
37935,Toys,Damage on Delivery,8,39444,1
37936,Stationery,Damage on Delivery,8,16073,1
37937,Home Appliances,Wrong Size,2,20819,1
37938,Bedding,Poor Quality,4,15876,1
37939,Books,Poor Quality,3,10776,1
37940,Bedding,Wrong Size,6,24134,1
37941,Furniture,Poor Quality,6,6873,1
37942,Beauty Products,Missing Item,8,42385,1
37943,Books,Damage on Delivery,9,39031,1
37944,Footwear,Incorrect Item Sent,4,28131,1
37945,Kitchenware,Damage on Delivery,1,44395,1
37946,Furniture,Incorrect Item Sent,4,34006,1
37947,Kitchenware,Incorrect Item Sent,5,26674,1
37948,Beauty Products,Wrong Size,4,28796,1
37949,Footwear,Late Delivery,6,45744,1
37950,Electronics,Defective Item,1,13257,1
37951,Electronics,Missing Item,6,47693,1
37952,Home Appliances,Missing Item,8,48287,1
37953,Kitchenware,Defective Item,4,40278,1
37954,Jewelry,Damage on Delivery,7,37724,1
37955,Clothing,Missing Item,8,38815,1
37956,Kitchenware,Missing Item,5,13687,1
37957,Stationery,Missing Item,1,38386,1
37958,Books,Damage on Delivery,7,9692,1
37959,Electronics,Missing Item,6,20377,1
37960,Electronics,Poor Quality,8,17941,1
37961,Electronics,Incorrect Item Sent,2,46706,1
37962,Books,Damage on Delivery,9,31632,1
37963,Bedding,Wrong Size,1,47358,1
37964,Kitchenware,Wrong Size,2,47353,1
37965,Books,Damage on Delivery,1,46527,1
37966,Beauty Products,Missing Item,2,9174,1
37967,Groceries,Poor Quality,5,48596,1
37968,Electronics,Late Delivery,2,11569,1
37969,Kitchenware,Damage on Delivery,2,20169,1
37970,Books,Defective Item,4,7620,1
37971,Stationery,Missing Item,1,26692,1
37972,Kitchenware,Incorrect Item Sent,8,49441,1
37973,Jewelry,Defective Item,4,42180,1
37974,Jewelry,Defective Item,2,5634,1
37975,Kitchenware,Damage on Delivery,8,25763,1
37976,Footwear,Missing Item,7,26963,1
37977,Clothing,Wrong Size,1,18321,1
37978,Electronics,Poor Quality,7,37350,1
37979,Footwear,Missing Item,2,24387,1
37980,Beauty Products,Missing Item,6,38041,1
37981,Books,Poor Quality,9,21998,1
37982,Bedding,Poor Quality,5,12831,1
37983,Beauty Products,Poor Quality,3,29736,1
37984,Bedding,Poor Quality,8,43026,1
37985,Bedding,Defective Item,9,34285,1
37986,Kitchenware,Wrong Size,8,38237,1
37987,Kitchenware,Wrong Size,7,22462,1
37988,Beauty Products,Poor Quality,3,45662,1
37989,Kitchenware,Defective Item,5,27704,1
37990,Beauty Products,Defective Item,2,35019,1
37991,Beauty Products,Packaging Issues,5,36900,1
37992,Books,Damage on Delivery,1,7481,1
37993,Bedding,Poor Quality,1,40765,1
37994,Bedding,Defective Item,4,19448,1
37995,Garden Tools,Damage on Delivery,7,24486,1
37996,Jewelry,Damage on Delivery,1,28034,1
37997,Clothing,Late Delivery,2,44708,1
37998,Kitchenware,Missing Item,2,33905,1
37999,Bedding,Defective Item,4,45236,1
38000,Bedding,Poor Quality,5,45359,1
38001,Groceries,Wrong Size,4,45288,1
38002,Footwear,Damage on Delivery,7,33711,1
38003,Kitchenware,Incorrect Item Sent,5,36188,1
38004,Footwear,Damage on Delivery,9,22330,1
38005,Bedding,Incorrect Item Sent,3,16184,1
38006,Kitchenware,Late Delivery,8,44429,1
38007,Electronics,Poor Quality,7,12246,1
38008,Stationery,Missing Item,2,15874,1
38009,Bedding,Product Not As Described,5,27014,1
38010,Stationery,Poor Quality,5,18047,1
38011,Home Appliances,Damage on Delivery,7,26677,1
38012,Kitchenware,Poor Quality,1,41182,1
38013,Bedding,Poor Quality,9,43600,1
38014,Bedding,Wrong Size,5,6194,1
38015,Bedding,Wrong Size,8,31125,1
38016,Toys,Missing Item,8,40933,1
38017,Books,Missing Item,9,32780,1
38018,Books,Missing Item,2,11627,1
38019,Kitchenware,Poor Quality,6,49435,1
38020,Bedding,Missing Item,5,32179,1
38021,Books,Damage on Delivery,3,38101,1
38022,Kitchenware,Packaging Issues,1,9644,1
38023,Beauty Products,Wrong Size,9,35387,1
38024,Jewelry,Damage on Delivery,8,49199,1
38025,Books,Missing Item,1,5024,1
38026,Furniture,Poor Quality,1,17097,1
38027,Kitchenware,Damage on Delivery,3,36607,1
38028,Home Appliances,Packaging Issues,6,19381,1
38029,Bedding,Damage on Delivery,7,22538,1
38030,Home Appliances,Wrong Size,7,49212,1
38031,Jewelry,Damage on Delivery,2,14709,1
38032,Books,Defective Item,9,28814,1
38033,Beauty Products,Missing Item,2,38245,1
38034,Jewelry,Defective Item,9,14319,1
38035,Stationery,Defective Item,3,48427,1
38036,Furniture,Damage on Delivery,3,48655,1
38037,Stationery,Poor Quality,6,49536,1
38038,Furniture,Missing Item,8,5494,1
38039,Books,Defective Item,9,27348,1
38040,Footwear,Poor Quality,1,49268,1
38041,Jewelry,Poor Quality,7,25815,1
38042,Books,Damage on Delivery,6,25233,1
38043,Furniture,Poor Quality,6,11185,1
38044,Bedding,Missing Item,5,47481,1
38045,Beauty Products,Damage on Delivery,9,13677,1
38046,Bedding,Defective Item,8,38045,1
38047,Bedding,Missing Item,4,13485,1
38048,Bedding,Poor Quality,5,23669,1
38049,Kitchenware,Missing Item,2,31091,1
38050,Stationery,Poor Quality,9,40378,1
38051,Sports Equipment,Missing Item,2,12697,1
38052,Books,Damage on Delivery,5,19609,1
38053,Furniture,Damage on Delivery,2,23675,1
38054,Beauty Products,Poor Quality,8,39287,1
38055,Stationery,Poor Quality,8,18164,1
38056,Toys,Incorrect Item Sent,4,27687,1
38057,Bedding,Poor Quality,4,29179,1
38058,Stationery,Defective Item,9,14270,1
38059,Books,Missing Item,6,9830,1
38060,Groceries,Defective Item,4,24382,1
38061,Stationery,Defective Item,1,13914,1
38062,Kitchenware,Defective Item,2,22592,1
38063,Footwear,Damage on Delivery,6,12584,1
38064,Groceries,Damage on Delivery,1,36789,1
38065,Kitchenware,Wrong Size,2,46015,1
38066,Furniture,Late Delivery,9,38769,1
38067,Home Appliances,Incorrect Item Sent,1,10870,1
38068,Electronics,Late Delivery,3,5949,1
38069,Books,Wrong Size,9,14729,1
38070,Toys,Defective Item,7,44642,1
38071,Toys,Missing Item,8,24869,1
38072,Kitchenware,Wrong Size,1,27198,1
38073,Kitchenware,Incorrect Item Sent,9,33526,1
38074,Sports Equipment,Damage on Delivery,7,44356,1
38075,Electronics,Damage on Delivery,2,42726,1
38076,Groceries,Late Delivery,1,12639,1
38077,Toys,Damage on Delivery,5,15931,1
38078,Beauty Products,Missing Item,3,42667,1
38079,Groceries,Missing Item,1,9918,1
38080,Jewelry,Defective Item,6,38986,1
38081,Kitchenware,Wrong Size,3,47112,1
38082,Groceries,Product Not As Described,8,49515,1
38083,Bedding,Damage on Delivery,3,6434,1
38084,Books,Late Delivery,7,43427,1
38085,Electronics,Defective Item,4,25043,1
38086,Beauty Products,Wrong Size,1,17203,1
38087,Kitchenware,Wrong Size,6,43981,1
38088,Toys,Incorrect Item Sent,9,23109,1
38089,Toys,Wrong Size,8,37620,1
38090,Home Appliances,Defective Item,1,31789,1
38091,Kitchenware,Poor Quality,7,42186,1
38092,Books,Poor Quality,3,47572,1
38093,Kitchenware,Incorrect Item Sent,3,20439,1
38094,Beauty Products,Defective Item,6,24136,1
38095,Beauty Products,Damage on Delivery,2,9371,1
38096,Books,Incorrect Item Sent,5,47242,1
38097,Books,Missing Item,2,37397,1
38098,Stationery,Product Not As Described,1,31629,1
38099,Home Appliances,Poor Quality,5,43987,1
38100,Kitchenware,Missing Item,6,14934,1
38101,Home Appliances,Defective Item,6,33958,1
38102,Books,Incorrect Item Sent,4,38939,1
38103,Beauty Products,Poor Quality,7,32448,1
38104,Bedding,Poor Quality,3,44722,1
38105,Books,Product Not As Described,7,20884,1
38106,Jewelry,Packaging Issues,5,12556,1
38107,Groceries,Defective Item,1,33363,1
38108,Books,Late Delivery,1,32048,1
38109,Kitchenware,Missing Item,3,21260,1
38110,Clothing,Defective Item,8,47028,1
38111,Books,Damage on Delivery,5,26540,1
38112,Stationery,Missing Item,9,47362,1
38113,Stationery,Poor Quality,8,39550,1
38114,Home Appliances,Defective Item,9,31065,1
38115,Jewelry,Product Not As Described,7,6869,1
38116,Books,Missing Item,8,39462,1
38117,Electronics,Incorrect Item Sent,6,12466,1
38118,Electronics,Missing Item,5,14255,1
38119,Groceries,Missing Item,6,12745,1
38120,Kitchenware,Late Delivery,7,24738,1
38121,Bedding,Missing Item,6,13209,1
38122,Books,Missing Item,1,13930,1
38123,Furniture,Poor Quality,9,30443,1
38124,Jewelry,Poor Quality,7,46724,1
38125,Jewelry,Damage on Delivery,9,25786,1
38126,Kitchenware,Damage on Delivery,5,42556,1
38127,Kitchenware,Defective Item,6,36633,1
38128,Jewelry,Defective Item,9,10262,1
38129,Beauty Products,Missing Item,8,42866,1
38130,Stationery,Damage on Delivery,1,5387,1
38131,Sports Equipment,Defective Item,7,15039,1
38132,Stationery,Missing Item,6,41334,1
38133,Kitchenware,Poor Quality,3,17776,1
38134,Furniture,Late Delivery,8,18319,1
38135,Home Appliances,Defective Item,6,18415,1
38136,Beauty Products,Defective Item,4,17901,1
38137,Stationery,Product Not As Described,1,19140,1
38138,Kitchenware,Incorrect Item Sent,2,47474,1
38139,Bedding,Missing Item,4,24386,1
38140,Books,Wrong Size,3,18572,1
38141,Home Appliances,Wrong Size,8,21856,1
38142,Kitchenware,Defective Item,9,18276,1
38143,Books,Missing Item,8,21676,1
38144,Books,Damage on Delivery,6,16268,1
38145,Beauty Products,Missing Item,9,21456,1
38146,Stationery,Wrong Size,4,48785,1
38147,Bedding,Wrong Size,2,7490,1
38148,Kitchenware,Poor Quality,7,36413,1
38149,Bedding,Damage on Delivery,9,30561,1
38150,Books,Poor Quality,3,34299,1
38151,Electronics,Defective Item,2,24976,1
38152,Clothing,Poor Quality,8,32170,1
38153,Footwear,Poor Quality,8,13611,1
38154,Kitchenware,Damage on Delivery,3,31853,1
38155,Footwear,Poor Quality,7,9359,1
38156,Jewelry,Poor Quality,2,9673,1
38157,Furniture,Damage on Delivery,8,9922,1
38158,Home Appliances,Missing Item,2,29503,1
38159,Footwear,Product Not As Described,6,41766,1
38160,Stationery,Incorrect Item Sent,2,39384,1
38161,Bedding,Poor Quality,2,38372,1
38162,Bedding,Defective Item,8,9493,1
38163,Stationery,Missing Item,6,12602,1
38164,Electronics,Incorrect Item Sent,4,22496,1
38165,Groceries,Poor Quality,6,24761,1
38166,Beauty Products,Incorrect Item Sent,7,13082,1
38167,Groceries,Missing Item,8,18485,1
38168,Beauty Products,Missing Item,9,42706,1
38169,Clothing,Defective Item,6,6264,1
38170,Kitchenware,Missing Item,4,44332,1
38171,Jewelry,Incorrect Item Sent,1,45846,1
38172,Jewelry,Wrong Size,6,21453,1
38173,Stationery,Late Delivery,7,29418,1
38174,Toys,Damage on Delivery,4,9355,1
38175,Furniture,Poor Quality,5,7230,1
38176,Clothing,Poor Quality,2,31459,1
38177,Kitchenware,Late Delivery,2,16975,1
38178,Footwear,Poor Quality,6,12467,1
38179,Jewelry,Damage on Delivery,1,44145,1
38180,Stationery,Damage on Delivery,4,47365,1
38181,Groceries,Missing Item,8,46199,1
38182,Electronics,Missing Item,9,27040,1
38183,Bedding,Incorrect Item Sent,1,33421,1
38184,Footwear,Missing Item,4,23262,1
38185,Groceries,Damage on Delivery,1,15564,1
38186,Bedding,Missing Item,8,30209,1
38187,Groceries,Missing Item,1,29268,1
38188,Toys,Poor Quality,1,8126,1
38189,Beauty Products,Defective Item,8,49963,1
38190,Home Appliances,Missing Item,1,38590,1
38191,Electronics,Damage on Delivery,1,6530,1
38192,Clothing,Poor Quality,5,7239,1
38193,Bedding,Damage on Delivery,4,30609,1
38194,Books,Wrong Size,2,40340,1
38195,Toys,Wrong Size,5,24930,1
38196,Jewelry,Defective Item,4,16997,1
38197,Stationery,Missing Item,6,29939,1
38198,Groceries,Missing Item,1,18162,1
38199,Electronics,Missing Item,1,9073,1
38200,Groceries,Defective Item,8,44945,1
38201,Home Appliances,Defective Item,7,20385,1
38202,Kitchenware,Product Not As Described,7,49645,1
38203,Jewelry,Packaging Issues,9,33417,1
38204,Kitchenware,Poor Quality,7,8928,1
38205,Kitchenware,Incorrect Item Sent,2,47034,1
38206,Clothing,Product Not As Described,2,46611,1
38207,Bedding,Poor Quality,4,13241,1
38208,Toys,Wrong Size,4,48448,1
38209,Bedding,Missing Item,8,9173,1
38210,Bedding,Damage on Delivery,4,9725,1
38211,Furniture,Poor Quality,6,15294,1
38212,Bedding,Damage on Delivery,9,5469,1
38213,Stationery,Damage on Delivery,8,42359,1
38214,Jewelry,Wrong Size,7,36019,1
38215,Home Appliances,Damage on Delivery,5,22031,1
38216,Books,Wrong Size,4,23746,1
38217,Jewelry,Missing Item,5,44069,1
38218,Bedding,Missing Item,6,16924,1
38219,Kitchenware,Damage on Delivery,6,24255,1
38220,Electronics,Missing Item,8,8609,1
38221,Jewelry,Poor Quality,2,36165,1
38222,Bedding,Missing Item,2,49311,1
38223,Groceries,Missing Item,1,20442,1
38224,Home Appliances,Incorrect Item Sent,4,6999,1
38225,Jewelry,Missing Item,3,29557,1
38226,Jewelry,Damage on Delivery,6,15163,1
38227,Kitchenware,Incorrect Item Sent,6,37625,1
38228,Bedding,Damage on Delivery,8,41035,1
38229,Clothing,Defective Item,4,46602,1
38230,Beauty Products,Missing Item,7,8473,1
38231,Bedding,Missing Item,4,46924,1
38232,Kitchenware,Poor Quality,6,48960,1
38233,Jewelry,Late Delivery,9,18565,1
38234,Home Appliances,Packaging Issues,9,24806,1
38235,Bedding,Poor Quality,5,5802,1
38236,Clothing,Defective Item,7,18932,1
38237,Stationery,Incorrect Item Sent,6,44628,1
38238,Jewelry,Defective Item,7,41506,1
38239,Kitchenware,Incorrect Item Sent,8,34142,1
38240,Bedding,Missing Item,3,23098,1
38241,Clothing,Missing Item,2,47702,1
38242,Beauty Products,Incorrect Item Sent,8,31989,1
38243,Bedding,Late Delivery,4,23809,1
38244,Home Appliances,Incorrect Item Sent,2,25896,1
38245,Jewelry,Damage on Delivery,7,20294,1
38246,Jewelry,Missing Item,4,42827,1
38247,Home Appliances,Damage on Delivery,3,40765,1
38248,Sports Equipment,Poor Quality,6,20280,1
38249,Beauty Products,Poor Quality,6,46151,1
38250,Beauty Products,Damage on Delivery,9,18574,1
38251,Books,Wrong Size,8,19157,1
38252,Bedding,Late Delivery,8,27439,1
38253,Kitchenware,Damage on Delivery,2,9977,1
38254,Kitchenware,Incorrect Item Sent,1,25645,1
38255,Electronics,Poor Quality,6,17912,1
38256,Bedding,Missing Item,4,37763,1
38257,Books,Late Delivery,4,15547,1
38258,Sports Equipment,Missing Item,9,44628,1
38259,Groceries,Poor Quality,2,8618,1
38260,Jewelry,Product Not As Described,2,7236,1
38261,Jewelry,Poor Quality,2,41960,1
38262,Stationery,Missing Item,9,19122,1
38263,Bedding,Wrong Size,4,26529,1
38264,Beauty Products,Defective Item,9,42813,1
38265,Bedding,Poor Quality,3,9612,1
38266,Home Appliances,Poor Quality,1,21015,1
38267,Bedding,Incorrect Item Sent,4,22141,1
38268,Bedding,Late Delivery,7,9440,1
38269,Garden Tools,Poor Quality,7,5065,1
38270,Beauty Products,Missing Item,7,11250,1
38271,Groceries,Missing Item,3,33883,1
38272,Groceries,Wrong Size,6,21889,1
38273,Books,Missing Item,2,21676,1
38274,Home Appliances,Missing Item,8,36658,1
38275,Home Appliances,Damage on Delivery,4,7760,1
38276,Bedding,Missing Item,1,16490,1
38277,Home Appliances,Poor Quality,8,47317,1
38278,Sports Equipment,Missing Item,1,6930,1
38279,Bedding,Wrong Size,4,23780,1
38280,Toys,Poor Quality,3,29971,1
38281,Beauty Products,Missing Item,4,22881,1
38282,Kitchenware,Missing Item,5,29727,1
38283,Footwear,Poor Quality,8,20162,1
38284,Books,Incorrect Item Sent,2,38152,1
38285,Footwear,Defective Item,6,11567,1
